system:index,bare-coverfraction,crops-coverfraction,data-density-indicator,discrete_classification,discrete_classification-proba,forest_type,grass-coverfraction,moss-coverfraction,name,shrub-coverfraction,snow-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
0,0,0,74,112,70,2,3,0,547,19,0,78,0,0,0,"{""type"":""Point"",""coordinates"":[-89.35424276716635,17.445674953473794]}"
1,4,23,82,20,30,0,50,0,233,19,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.8639790237097,0.31597154226593666]}"
2,0,13,86,20,32,0,56,0,372,21,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.90021694557824,0.2898824238009886]}"
3,6,1,86,20,38,0,63,0,169,21,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.84297716294369,0.35758265712740117]}"
4,3,12,82,20,50,0,49,0,251,28,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.90679905714171,0.37700065283851963]}"
5,8,0,83,20,40,0,57,0,065,29,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.88438780117373,0.3942274379637513]}"
6,0,0,73,112,83,2,9,0,497,3,0,88,0,0,0,"{""type"":""Point"",""coordinates"":[-89.33932644761876,17.441534941874057]}"
7,0,0,20,112,80,2,0,0,110,14,0,86,0,0,0,"{""type"":""Point"",""coordinates"":[29.415316715226385,-2.546579392890571]}"
8,0,4,83,20,39,0,63,0,259,26,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.8783792336315,0.35874229563208]}"
9,1,15,90,20,29,0,56,0,437,18,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.82887305620966,0.5037197420359051]}"
10,0,19,87,30,42,0,52,0,414,22,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.871134420633815,0.34870332468008836]}"
11,0,0,76,112,90,2,0,0,392,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.21887925942633,17.323563176570584]}"
12,0,23,86,20,43,0,49,0,373,23,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.85684196258457,0.514976802973771]}"
13,0,0,27,112,99,2,0,0,230,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.92632491387245,-1.8440626992747933]}"
14,0,0,20,112,98,2,0,0,504,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[29.385725225195856,-2.6072618584119853]}"
15,8,0,86,20,45,0,59,0,508,27,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.89069681029452,0.41387499915897263]}"
16,0,20,83,20,50,0,42,0,073,28,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.871834127753296,0.3957090964858775]}"
17,0,0,76,112,100,2,0,0,458,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.24049012393131,17.36647265390731]}"
18,0,12,83,20,43,0,57,0,409,22,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.85632244570259,0.3980686784662569]}"
19,0,0,53,112,96,2,0,0,457,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.92143820544406,-1.8787353302322154]}"
20,0,0,53,112,100,2,0,0,055,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.83474114107756,-1.8855748606625178]}"
21,0,10,86,20,52,0,53,0,022,27,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.90013833459309,0.3207614226120245]}"
22,8,0,82,20,56,0,54,0,471,29,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.86185136455476,0.4122442349988146]}"
23,0,17,83,20,34,0,52,0,410,22,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.8703722625851,0.3859419414805249]}"
24,0,0,70,112,99,2,0,0,008,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.42048048427831,17.42420062175233]}"
25,5,9,86,20,64,0,48,0,379,27,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.88549290295677,0.2881180444688006]}"
26,0,16,90,20,55,0,52,0,422,27,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.832545427641556,0.4782569382141284]}"
27,0,0,26,112,78,2,0,0,344,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.9309696054842,-1.851634900970179]}"
28,0,0,69,112,85,2,7,0,176,0,0,93,0,0,0,"{""type"":""Point"",""coordinates"":[-89.16194523701087,17.535519048452937]}"
29,0,0,27,112,81,2,9,0,225,9,0,82,0,0,0,"{""type"":""Point"",""coordinates"":[29.421881157340817,-2.5918260700357814]}"
30,0,0,86,20,53,0,61,0,518,30,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.9110880674045,0.310585522824417]}"
31,0,0,27,112,100,2,0,0,267,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.15850043677803,-1.9335396280450448]}"
32,0,0,87,20,38,0,55,0,298,33,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.85475242946671,0.4782273548816809]}"
33,0,10,83,20,59,0,57,0,131,24,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.888809462630654,0.2998261240016198]}"
34,0,21,82,20,39,0,55,0,124,19,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.88426357397885,0.3661099234994124]}"
35,0,0,75,112,99,2,0,0,119,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.25041868624844,17.312882827663895]}"
36,0,0,52,112,99,2,0,0,404,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.90619539604918,-1.8774590260595634]}"
37,0,19,86,20,41,0,53,0,501,22,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.86982812118411,0.4727646577680659]}"
38,12,0,91,20,49,0,58,0,291,25,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.911014059056335,0.4059318274608063]}"
39,0,0,70,112,98,2,0,0,440,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.34510662979936,17.505649236333443]}"
40,4,26,83,40,42,0,49,0,302,17,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.87252455701666,0.3244326111241371]}"
41,0,0,83,20,58,0,66,0,258,30,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.89964646902503,0.42653080657344494]}"
42,0,0,78,112,98,2,0,0,014,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.40753452209306,17.462611300994546]}"
43,0,0,21,112,78,2,16,0,416,0,0,84,0,0,0,"{""type"":""Point"",""coordinates"":[29.417100767426344,-2.574455126420509]}"
44,4,6,83,20,47,0,42,0,522,32,0,16,0,0,0,"{""type"":""Point"",""coordinates"":[36.84870391664237,0.3781883919551084]}"
45,0,0,83,20,48,0,60,0,383,32,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.84993911354929,0.4400926091787454]}"
46,0,0,74,112,97,2,0,0,526,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.21962200908158,17.477544788939728]}"
47,0,1,20,112,78,2,0,0,129,20,0,79,0,0,0,"{""type"":""Point"",""coordinates"":[29.39661591159054,-2.5524396866885315]}"
48,0,0,52,112,99,2,0,0,370,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.83781456921474,-1.8770536154645836]}"
49,4,15,83,20,48,0,52,0,206,25,0,4,0,0,0,"{""type"":""Point"",""coordinates"":[36.92595419300959,0.39755340561221963]}"
50,0,0,79,112,99,2,0,0,519,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.34672636767576,17.40657015241986]}"
51,0,0,74,112,99,2,0,0,453,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.35969966917423,17.48750633433792]}"
52,8,1,83,20,44,0,59,0,551,26,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.8404884721961,0.46257812044235513]}"
53,0,0,26,112,99,2,0,0,417,8,0,92,0,0,0,"{""type"":""Point"",""coordinates"":[29.405029878310202,-2.612629848276045]}"
54,0,0,27,112,99,2,0,0,315,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.83690245696395,-1.8642956805841837]}"
55,0,0,79,20,41,0,63,0,179,27,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.88247352058484,0.3691159799182676]}"
56,5,0,86,20,47,0,59,0,249,27,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.8874792070224,0.41935091446448436]}"
57,3,21,86,20,38,0,41,0,226,24,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.867876083378924,0.2862350369610934]}"
58,0,0,26,112,97,2,0,0,516,11,0,89,0,0,0,"{""type"":""Point"",""coordinates"":[29.40638411178184,-2.619436861567053]}"
59,0,0,83,20,54,0,61,0,477,28,0,11,0,0,9,"{""type"":""Point"",""coordinates"":[36.84335173200797,0.38880097663629565]}"
60,0,0,27,112,80,2,0,0,162,13,0,87,0,0,0,"{""type"":""Point"",""coordinates"":[29.41314453125297,-2.560880377050361]}"
61,0,0,75,112,73,2,0,0,287,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.27789470315696,17.368132706606215]}"
62,0,0,83,20,42,0,65,0,095,28,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.86167221895546,0.42780379224436804]}"
63,0,13,83,20,60,0,53,0,450,23,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.88682334252553,0.303496046537519]}"
64,0,0,82,20,49,0,52,0,369,35,0,13,0,0,0,"{""type"":""Point"",""coordinates"":[36.85592763201621,0.2974385137151861]}"
65,0,14,52,112,67,2,0,0,123,0,0,86,0,0,0,"{""type"":""Point"",""coordinates"":[29.370985157878252,-2.513776617328506]}"
66,0,1,83,20,47,0,65,0,112,27,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.86825667283611,0.3332293683737699]}"
67,0,12,82,20,44,0,42,0,108,31,0,15,0,0,0,"{""type"":""Point"",""coordinates"":[36.8748229009666,0.3943556244553961]}"
68,0,0,70,112,98,2,0,0,502,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.25072300690697,17.526457225422796]}"
69,0,0,18,112,71,2,0,0,314,24,0,76,0,0,0,"{""type"":""Point"",""coordinates"":[29.381387436666873,-2.53891885281452]}"
70,4,19,83,20,41,0,49,0,113,22,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.841138579257155,0.4265672374576081]}"
71,0,17,87,30,25,0,45,0,441,15,0,23,0,0,0,"{""type"":""Point"",""coordinates"":[-58.61707949534127,-19.84250142178485]}"
72,0,0,80,112,99,2,0,0,177,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.29183932513483,17.316871496101843]}"
73,0,17,83,20,38,0,48,0,247,23,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.84936517778058,0.4203033710460939]}"
74,0,0,83,20,42,0,63,0,185,30,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.83183842771321,0.41457220299540554]}"
75,0,0,75,112,100,2,0,0,470,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.3752821909996,17.54354318749816]}"
76,0,0,74,112,100,2,0,0,290,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.38775881768353,17.44264127986732]}"
77,0,0,26,112,66,2,26,0,490,12,0,62,0,0,0,"{""type"":""Point"",""coordinates"":[29.301540157168105,-2.470058060481568]}"
78,0,16,83,20,52,0,52,0,081,27,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.92131495280321,0.3774443774973468]}"
79,0,0,90,20,58,0,62,0,540,29,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.855812761992944,0.37021142055911893]}"
80,0,0,26,112,78,2,0,0,541,21,0,79,0,0,0,"{""type"":""Point"",""coordinates"":[29.396976826843545,-2.580788550656127]}"
81,0,0,74,112,84,2,0,0,105,10,0,90,0,0,0,"{""type"":""Point"",""coordinates"":[-89.26020127000108,17.429667706513456]}"
82,0,15,82,20,43,0,46,0,031,26,0,13,0,0,0,"{""type"":""Point"",""coordinates"":[36.85534422579123,0.2970019375842059]}"
83,0,0,70,112,99,2,0,0,092,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.29852334205884,17.536732220783115]}"
84,0,0,20,112,97,2,14,0,144,2,0,84,0,0,0,"{""type"":""Point"",""coordinates"":[29.399587661848912,-2.5722890297141343]}"
85,0,0,75,112,97,2,0,0,449,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.36910478923855,17.413248259248626]}"
86,0,0,25,112,81,2,0,0,312,19,0,81,0,0,0,"{""type"":""Point"",""coordinates"":[29.388135443922582,-2.557353111471825]}"
87,0,0,80,112,74,2,4,0,245,14,0,82,0,0,0,"{""type"":""Point"",""coordinates"":[-90.38664553520124,17.26294364443537]}"
88,0,0,20,112,73,2,23,0,231,0,0,77,0,0,0,"{""type"":""Point"",""coordinates"":[29.406434356328727,-2.5386738429276243]}"
89,7,0,83,20,40,0,60,0,359,25,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.89581316336562,0.4224310635946181]}"
90,0,0,90,20,52,0,66,0,321,27,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.846555244339065,0.33617864261335006]}"
91,7,0,87,20,44,0,63,0,366,25,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.85378651268177,0.40448603835208646]}"
92,0,0,74,112,99,2,0,0,529,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.3779386416874,17.471844972255685]}"
93,0,0,82,116,52,0,21,0,484,36,0,43,0,0,0,"{""type"":""Point"",""coordinates"":[-58.610918689627304,-19.8336680471005]}"
94,0,0,69,112,81,2,0,0,456,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.21441303895942,17.386912518489904]}"
95,0,0,74,116,44,0,13,0,301,44,0,43,0,0,0,"{""type"":""Point"",""coordinates"":[-89.36824357719823,17.432647551432957]}"
96,0,0,52,112,97,2,0,0,025,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[29.38710228836127,-2.6228343574652895]}"
97,0,14,83,20,51,0,50,0,503,28,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.927511511634684,0.3669422745207605]}"
98,0,0,86,20,46,0,60,0,138,29,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.84326963415249,0.36818442514557354]}"
99,0,0,86,20,49,0,64,0,306,28,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.876284563119476,0.43636730018872943]}"
100,0,1,79,20,50,0,64,0,240,26,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.88246225502504,0.3333834216361153]}"
101,0,0,74,112,96,2,0,0,444,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.29927048665242,17.426287047940967]}"
102,0,0,83,30,92,0,65,0,443,30,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.89213977387095,0.4215956674585903]}"
103,0,0,90,20,60,0,56,0,193,32,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.820846232277844,0.41192073764892545]}"
104,2,30,89,40,45,0,49,0,136,16,0,3,0,0,0,"{""type"":""Point"",""coordinates"":[36.873726112174445,0.2863078067316473]}"
105,0,28,83,20,41,0,51,0,051,20,0,1,0,0,0,"{""type"":""Point"",""coordinates"":[36.90242404984711,0.4191577994133831]}"
106,0,14,18,116,33,0,24,0,293,13,0,49,0,0,0,"{""type"":""Point"",""coordinates"":[29.264567825620645,-2.5660196854954886]}"
107,21,8,87,20,58,0,44,0,375,24,0,3,0,0,0,"{""type"":""Point"",""coordinates"":[36.848003701677435,0.4946679268149558]}"
108,4,0,83,20,43,0,58,0,229,30,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.9070151750833,0.3932093347835857]}"
109,0,0,90,20,42,0,61,0,127,32,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.88875543035903,0.41811095589577946]}"
110,0,0,26,112,68,2,0,0,333,26,0,74,0,0,0,"{""type"":""Point"",""coordinates"":[29.404693947567694,-2.582070800125371]}"
111,7,1,90,20,42,0,53,0,220,29,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.8723009357763,0.4107500662279259]}"
112,0,11,20,112,74,2,0,0,521,8,0,81,0,0,0,"{""type"":""Point"",""coordinates"":[29.39190832023515,-2.519539918731574]}"
113,0,0,27,112,100,2,0,0,264,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.17301619261994,-1.9420145610648765]}"
114,0,0,71,112,92,2,0,0,531,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.27484144414585,17.340220544240648]}"
115,0,0,80,20,44,0,64,0,261,29,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.89200191232386,0.4003588712377196]}"
116,0,0,83,20,45,0,64,0,489,27,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.83272593511341,0.4184907280919391]}"
117,0,0,46,116,50,0,23,0,224,12,0,65,0,0,0,"{""type"":""Point"",""coordinates"":[29.424445303107326,-2.559545268820268]}"
118,0,0,69,112,100,2,0,0,106,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[103.16998205946943,20.11690197957845]}"
119,0,0,26,112,97,2,0,0,071,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[29.395219821147172,-2.595224856128364]}"
120,0,1,90,20,43,0,65,0,329,26,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.901692189036744,0.2828233670075575]}"
121,0,0,71,112,99,2,0,0,210,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.32011001521958,17.412933898161278]}"
122,6,0,80,20,43,0,60,0,532,28,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.86856291306131,0.457870794563644]}"
123,0,0,83,126,36,0,52,0,024,32,0,16,0,0,0,"{""type"":""Point"",""coordinates"":[36.87267327752806,0.3972405456875009]}"
124,0,0,83,30,90,0,64,0,010,28,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.892203128519284,0.480283121689543]}"
125,0,0,60,112,98,2,0,0,145,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.85460402687619,-1.8783470914159714]}"
126,7,0,82,20,51,0,62,0,300,25,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.83489429196447,0.3852535737510175]}"
127,0,0,90,20,51,0,65,0,091,28,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.861376533065645,0.4338985983754824]}"
128,0,0,75,112,97,2,0,0,212,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.23532347668366,17.333951801239408]}"
129,0,12,20,112,97,2,0,0,000,14,0,74,0,0,0,"{""type"":""Point"",""coordinates"":[29.35055652840072,-2.626241250346719]}"
130,0,0,87,116,48,0,15,0,082,28,0,57,0,0,0,"{""type"":""Point"",""coordinates"":[-58.61505417063685,-19.796040100276585]}"
131,0,0,90,116,55,0,15,0,121,23,0,62,0,0,0,"{""type"":""Point"",""coordinates"":[-58.61778840979919,-19.84801345429191]}"
132,0,0,27,112,100,2,0,0,045,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.84158894064917,-1.8936431157718412]}"
133,0,0,82,116,63,0,10,0,064,28,0,62,0,0,0,"{""type"":""Point"",""coordinates"":[-58.65293658236221,-19.789640623635297]}"
134,6,1,82,20,38,0,57,0,499,26,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.8764970596741,0.38127887731779886]}"
135,0,0,90,20,42,0,64,0,125,26,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.89756647089733,0.2954514171664175]}"
136,0,1,86,20,43,0,60,0,122,29,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.85497924683391,0.3834669038949661]}"
137,0,0,75,112,97,2,0,0,109,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.38450801813721,17.48670574225246]}"
138,4,16,82,20,38,0,51,0,132,22,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.83941767831211,0.3692122664750139]}"
139,0,0,82,126,30,0,22,0,421,32,0,46,0,0,0,"{""type"":""Point"",""coordinates"":[-58.64803425407102,-19.790869284428194]}"
140,0,0,19,112,86,2,0,0,530,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[29.41355600739577,-2.5454882190190844]}"
141,0,19,83,20,38,0,51,0,412,23,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.83851751103988,0.47683976548682744]}"
142,0,0,77,112,99,2,0,0,149,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.38345162375447,17.501946163551104]}"
143,0,2,83,20,42,0,61,0,170,28,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.88813310063387,0.3936811720959416]}"
144,0,0,75,112,99,2,0,0,428,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.34696920786806,17.486201882522035]}"
145,4,4,83,20,49,0,52,0,351,32,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.87926753570763,0.40951459423627673]}"
146,0,0,33,112,82,2,0,0,374,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.84970379623749,-1.8852423130427767]}"
147,0,1,86,20,54,0,61,0,273,29,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.845312385623295,0.3829593705848677]}"
148,0,0,70,112,97,2,0,0,057,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.23669240317896,17.433195051368905]}"
149,0,0,77,112,99,2,0,0,218,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.21560449646441,17.492381819738956]}"
150,0,0,73,112,100,2,0,0,320,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.30856133799814,17.49559922328219]}"
151,2,16,85,20,35,0,53,0,103,21,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.87395458388925,0.27805555401582077]}"
152,1,25,86,20,43,0,45,0,400,22,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.88729886042743,0.4855926290971325]}"
153,5,15,83,20,40,0,46,0,242,26,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.891541722318685,0.37302098256135674]}"
154,0,0,19,112,82,2,0,0,385,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[29.390326689889278,-2.589495158621306]}"
155,0,0,75,112,99,2,0,0,338,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.35080836943763,17.536896481052]}"
156,0,11,83,20,36,0,50,0,415,27,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.8918927235126,0.3312000722345206]}"
157,0,0,74,112,98,2,0,0,003,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.33077059971222,17.35453036432352]}"
158,0,13,85,20,35,0,50,0,328,24,0,13,0,0,0,"{""type"":""Point"",""coordinates"":[36.869441915998244,0.3771808510283011]}"
159,0,0,83,116,63,0,1,0,174,27,0,72,0,0,0,"{""type"":""Point"",""coordinates"":[-58.62157045123212,-19.824004415715304]}"
160,0,0,86,20,44,0,59,0,289,31,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.862931772670926,0.4627570018112987]}"
161,0,0,19,112,80,2,0,0,167,24,0,76,0,0,0,"{""type"":""Point"",""coordinates"":[29.377802131072595,-2.53574413564277]}"
162,0,0,52,112,75,2,17,0,282,14,0,69,0,0,0,"{""type"":""Point"",""coordinates"":[29.38838026891098,-2.622327853110669]}"
163,0,1,90,20,46,0,64,0,152,28,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.862241291461714,0.4586217549806155]}"
164,0,9,89,20,42,0,59,0,159,24,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.90269370224628,0.2977199208976545]}"
165,0,0,85,20,37,0,67,0,053,25,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.84911889705895,0.39701662905998303]}"
166,0,0,20,116,54,0,29,0,390,10,0,61,0,0,0,"{""type"":""Point"",""coordinates"":[29.363897437858608,-2.322555569447371]}"
167,0,12,83,20,49,0,44,0,197,32,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.92623376510901,0.3649389341573558]}"
168,0,0,86,20,36,0,64,0,520,26,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.84588023602885,0.4513483520249823]}"
169,0,12,83,20,46,0,58,0,101,23,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.88658320163992,0.42242543827055773]}"
170,0,0,82,20,36,0,66,0,254,26,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.885710691894054,0.3441215896261132]}"
171,0,0,70,112,48,2,20,0,512,0,0,80,0,0,0,"{""type"":""Point"",""coordinates"":[-89.26162824679224,17.486799266608877]}"
172,0,17,83,20,44,0,55,0,151,23,0,5,0,0,0,"{""type"":""Point"",""coordinates"":[36.91290076119324,0.35965868710133353]}"
173,0,0,86,20,52,0,61,0,001,27,0,12,0,0,0,"{""type"":""Point"",""coordinates"":[36.87881117620775,0.3100894856097052]}"
174,5,0,82,20,38,0,62,0,028,25,0,8,0,0,0,"{""type"":""Point"",""coordinates"":[36.85158912415017,0.40956090840037074]}"
175,0,0,86,20,38,0,62,0,278,27,0,11,0,0,0,"{""type"":""Point"",""coordinates"":[36.8212468917753,0.4223472145962541]}"
176,0,0,71,112,42,2,25,0,060,33,0,42,0,0,0,"{""type"":""Point"",""coordinates"":[-89.35785667276214,17.45245169536857]}"
177,0,23,90,30,52,0,49,0,434,15,0,13,0,0,0,"{""type"":""Point"",""coordinates"":[-58.6020821917912,-19.828335824111782]}"
178,0,0,75,112,94,2,0,0,408,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.36949935289653,17.536713449953606]}"
179,0,0,73,112,94,2,0,0,511,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.41342659908402,17.43990428467222]}"
180,0,20,86,20,44,0,53,0,140,20,0,7,0,0,0,"{""type"":""Point"",""coordinates"":[36.85953246413865,0.45075688754070886]}"
181,0,1,83,20,48,0,66,0,318,27,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.839141043009015,0.463486068384292]}"
182,0,0,86,20,43,0,66,0,157,28,0,6,0,0,0,"{""type"":""Point"",""coordinates"":[36.853573366218704,0.4223354439540444]}"
183,0,0,82,30,90,0,62,0,492,28,0,10,0,0,0,"{""type"":""Point"",""coordinates"":[36.84222434360628,0.3723875424635886]}"
184,2,26,83,40,45,0,53,0,130,16,0,3,0,0,0,"{""type"":""Point"",""coordinates"":[36.87202048158241,0.29531409169537814]}"
185,0,10,20,112,63,2,16,0,356,10,0,64,0,0,0,"{""type"":""Point"",""coordinates"":[29.406273719380522,-2.595351880715789]}"
186,4,10,83,20,37,0,48,0,387,29,0,9,0,0,0,"{""type"":""Point"",""coordinates"":[36.88889947723915,0.3776345355965877]}"
187,0,0,28,112,98,2,0,0,009,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-76.84303058393503,-1.8542432186023639]}"
188,0,0,74,112,94,2,0,0,509,0,0,100,0,0,0,"{""type"":""Point"",""coordinates"":[-89.29153367242331,17.459730033902066]}"
189,0,12,26,112,99,2,0,0,202,10,0,78,0,0,0,"{""type"":""Point"",""coordinates"":[29.390633285347473,-2.5238879512632435]}"
190,0,0,74,112,76,2,13,0,395,0,0,87,0,0,0,"{""type"":""Point"",""coordinates"":[-89.25412173316448,17.470856580623433]}"
